DeepMimic: obs=128 act=29 clip=261.3s  max_steps=13067
iter  196 | ep_len   49.1 | ep_ret    25.85 | pi -0.259 | v 1.218 | ent 44.53 | std 1.125
iter  197 | ep_len   56.7 | ep_ret    30.44 | pi -0.191 | v 1.251 | ent 44.62 | std 1.128
iter  198 | ep_len   49.7 | ep_ret    26.05 | pi -0.124 | v 0.984 | ent 44.74 | std 1.133
iter  199 | ep_len   51.5 | ep_ret    27.31 | pi -0.117 | v 0.966 | ent 44.83 | std 1.136
iter  200 | ep_len   53.3 | ep_ret    28.32 | pi -0.126 | v 1.260 | ent 44.92 | std 1.140
iter  201 | ep_len   54.2 | ep_ret    29.06 | pi -0.174 | v 1.135 | ent 45.02 | std 1.144
iter  202 | ep_len   52.5 | ep_ret    27.58 | pi -0.149 | v 1.106 | ent 45.09 | std 1.147
iter  203 | ep_len   52.8 | ep_ret    28.14 | pi -0.207 | v 0.875 | ent 45.20 | std 1.151
iter  204 | ep_len   52.1 | ep_ret    27.44 | pi -0.017 | v 0.960 | ent 45.29 | std 1.155
iter  205 | ep_len   49.7 | ep_ret    26.18 | pi -0.204 | v 1.160 | ent 45.37 | std 1.158
iter  206 | ep_len   49.5 | ep_ret    26.41 | pi -0.110 | v 1.048 | ent 45.46 | std 1.161
iter  207 | ep_len   50.2 | ep_ret    26.49 | pi -0.104 | v 0.918 | ent 45.54 | std 1.165
iter  208 | ep_len   51.7 | ep_ret    27.55 | pi -0.134 | v 1.000 | ent 45.65 | std 1.169
iter  209 | ep_len   53.2 | ep_ret    28.51 | pi -0.081 | v 1.111 | ent 45.74 | std 1.173
iter  210 | ep_len   51.0 | ep_ret    27.00 | pi -0.149 | v 1.462 | ent 45.82 | std 1.176
iter  211 | ep_len   51.4 | ep_ret    27.58 | pi -0.194 | v 1.179 | ent 45.89 | std 1.179
iter  212 | ep_len   52.1 | ep_ret    27.61 | pi -0.109 | v 0.956 | ent 45.95 | std 1.181
iter  213 | ep_len   54.1 | ep_ret    29.16 | pi -0.021 | v 1.156 | ent 46.07 | std 1.186
iter  214 | ep_len   53.7 | ep_ret    28.97 | pi -0.066 | v 1.178 | ent 46.18 | std 1.191
iter  215 | ep_len   50.2 | ep_ret    26.40 | pi -0.128 | v 1.447 | ent 46.29 | std 1.195
iter  216 | ep_len   53.7 | ep_ret    28.64 | pi -0.123 | v 1.058 | ent 46.40 | std 1.200
iter  217 | ep_len   50.6 | ep_ret    26.75 | pi -0.053 | v 0.818 | ent 46.50 | std 1.204
iter  218 | ep_len   53.2 | ep_ret    28.12 | pi -0.114 | v 1.133 | ent 46.59 | std 1.207
iter  219 | ep_len   47.2 | ep_ret    24.86 | pi -0.242 | v 0.969 | ent 46.68 | std 1.211
iter  220 | ep_len   48.1 | ep_ret    25.44 | pi -0.092 | v 1.246 | ent 46.75 | std 1.214
iter  221 | ep_len   53.4 | ep_ret    28.61 | pi -0.146 | v 1.055 | ent 46.83 | std 1.218
iter  222 | ep_len   49.0 | ep_ret    25.48 | pi -0.064 | v 0.860 | ent 46.91 | std 1.221
iter  223 | ep_len   48.0 | ep_ret    25.33 | pi +0.049 | v 0.972 | ent 46.99 | std 1.224
iter  224 | ep_len   52.5 | ep_ret    27.72 | pi -0.168 | v 1.298 | ent 47.08 | std 1.228
iter  225 | ep_len   53.2 | ep_ret    28.07 | pi -0.166 | v 0.591 | ent 47.21 | std 1.234
iter  226 | ep_len   51.2 | ep_ret    26.81 | pi -0.103 | v 1.705 | ent 47.30 | std 1.238
iter  227 | ep_len   52.0 | ep_ret    27.27 | pi -0.088 | v 0.986 | ent 47.38 | std 1.241
iter  228 | ep_len   49.3 | ep_ret    25.52 | pi -0.107 | v 1.015 | ent 47.47 | std 1.245
iter  229 | ep_len   47.6 | ep_ret    24.45 | pi -0.105 | v 1.325 | ent 47.61 | std 1.251
iter  230 | ep_len   54.9 | ep_ret    28.77 | pi -0.155 | v 0.842 | ent 47.71 | std 1.255
iter  231 | ep_len   55.8 | ep_ret    29.80 | pi -0.195 | v 1.035 | ent 47.81 | std 1.260
iter  232 | ep_len   51.8 | ep_ret    26.94 | pi -0.072 | v 0.881 | ent 47.88 | std 1.263
iter  233 | ep_len   48.3 | ep_ret    25.33 | pi -0.190 | v 0.836 | ent 48.00 | std 1.268
iter  234 | ep_len   51.3 | ep_ret    26.90 | pi -0.114 | v 0.673 | ent 48.11 | std 1.273
iter  235 | ep_len   50.9 | ep_ret    26.66 | pi -0.086 | v 0.666 | ent 48.21 | std 1.277
iter  236 | ep_len   53.3 | ep_ret    27.74 | pi -0.268 | v 1.181 | ent 48.30 | std 1.282
iter  237 | ep_len   51.0 | ep_ret    26.74 | pi -0.261 | v 0.783 | ent 48.41 | std 1.286
iter  238 | ep_len   54.6 | ep_ret    28.61 | pi -0.117 | v 0.917 | ent 48.54 | std 1.292
iter  239 | ep_len   49.8 | ep_ret    26.14 | pi -0.100 | v 0.915 | ent 48.63 | std 1.296
iter  240 | ep_len   50.8 | ep_ret    26.71 | pi -0.260 | v 0.892 | ent 48.73 | std 1.301
iter  241 | ep_len   50.0 | ep_ret    26.13 | pi -0.145 | v 1.033 | ent 48.86 | std 1.306
iter  242 | ep_len   50.6 | ep_ret    26.16 | pi -0.142 | v 0.924 | ent 48.96 | std 1.311
iter  243 | ep_len   48.3 | ep_ret    25.17 | pi -0.163 | v 1.062 | ent 49.05 | std 1.315
iter  244 | ep_len   51.0 | ep_ret    26.35 | pi -0.095 | v 0.605 | ent 49.19 | std 1.321
iter  245 | ep_len   53.9 | ep_ret    28.41 | pi -0.209 | v 0.725 | ent 49.31 | std 1.327
iter  246 | ep_len   53.2 | ep_ret    27.69 | pi -0.177 | v 0.585 | ent 49.42 | std 1.332
